acc_index,Binomial,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
1559,Columbina_minuta,AF182685,NA,NA,NA,NA,NA,AF182652 (reversed),NA,NA,NA
1560,Columbina_passerina,AF182686,DQ433536,EU327611,NA,NA,EU739237,AF182653 (reversed),NA,EU739948,NA
1561,Columbina_picui,AF182687,FJ027423,NA,NA,NA,NA,AF182654 (reversed),NA,NA,NA
1562,Columbina_squammata,AF483347,EF373368,EF373330,NA,EF373501,NA,AF182651 (reversed),NA,AY339094,DQ881727
1563,Columbina_talpacoti,EU442361,EU442319,EU713842,NA,NA,NA,NA,NA,NA,NA
1564,Compsospiza_baeri,EF529986,FJ028137,EF529872,NA,NA,NA,NA,NA,NA,NA
1565,Compsospiza_garleppi,AY005204,NA,NA,NA,NA,NA,NA,NA,NA,NA
1566,Conioptilon_mcilhennyi,DQ470495,NA,NA,NA,FJ501619,NA,NA,DQ470520,DQ470546,NA
1567,Conirostrum_albifrons,AF447365,NA,AF447273,NA,NA,NA,NA,NA,NA,NA
1568,Conirostrum_bicolor,AF383025,AF383100,AF383141,NA,NA,NA,NA,NA,NA,NA
1569,Conirostrum_margaritae,EU647892,NA,EU647925,NA,NA,NA,NA,NA,NA,NA
1570,Conirostrum_sitticolor,AF383000,AF383086,AF383116,NA,NA,NA,NA,NA,NA,NA
1571,Conirostrum_speciosum,AY190168,NA,FJ799835,NA,NA,NA,NA,NA,NA,NA
1572,Conopophaga_ardesiaca,NA,NA,NA,NA,AY443271,NA,NA,NA,NA,NA
1573,Conopophaga_aurita,NA,NA,NA,AY489556,NA,GQ140163,AY489460,NA,AY065784,DQ435478
1574,Conopophaga_lineata,AY078173,FJ027433,AY370592,AY489555,AF295185,NA,AY489459,AY336577,NA,NA
1575,Conopophaga_peruviana,AY370554,NA,AY370591,NA,NA,NA,NA,NA,NA,NA
1576,Conopophila_albogularis,AY488341,NA,AY488270,NA,NA,AY488421,NA,NA,NA,NA
1577,Conopophila_rufogularis,AY488342,NA,AY488271,NA,NA,AY488422,NA,NA,NA,NA
1578,Conothraupis_speculigera,AF006223,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,Contopus_cinereus,NA,EU233009,EF501903,NA,NA,EF501872,NA,NA,NA,NA
1580,Contopus_cooperi,AF447605,DQ433538,AF447632,AF447660,NA,NA,NA,NA,NA,NA
1581,Contopus_fumigatus,NA,FJ027434,NA,NA,FJ501620,NA,NA,NA,NA,NA
1582,Contopus_pertinax,NA,GU116560,NA,NA,NA,NA,NA,NA,NA,NA
1583,Contopus_sordidulus,AF447607,DQ433545,AF447635,AF447662,NA,NA,NA,EU231731,EU231829,EU231932
1584,Contopus_virens,AF447610,DQ432863,AF447637,AF447664,NA,NA,AY082423,NA,NA,NA
1585,Copsychus_albospecularis,AF276776,FJ473000,AY329418,NA,NA,NA,NA,NA,HM120165,NA
1586,Copsychus_cebuensis,NA,NA,HM120186,NA,NA,NA,NA,NA,NA,NA
1587,Copsychus_luzoniensis,HM633399,EU541451,FJ473304,NA,NA,NA,NA,NA,HM120154,HM633809
1588,Copsychus_malabaricus,FJ487859,FJ473054,DQ466859,NA,AY307188,NA,NA,GU358982,DQ466823,HM633699
1589,Copsychus_niger,NA,NA,HM120198,NA,NA,NA,NA,NA,HM120151,NA
1590,Copsychus_saularis,DQ285445,EU541454,DQ125977,NA,NA,NA,NA,GU358983,GU358719,HM633700
1591,Copsychus_sechellarum,NA,NA,HM120187,NA,NA,NA,NA,NA,NA,NA
1592,Copsychus_stricklandii,FJ487750,FJ473023,FJ473274,NA,NA,NA,NA,NA,HM633562,HM633701
1593,Coracias_abyssinicus,NA,NA,AY998925,AY998971,NA,NA,NA,NA,NA,NA
1594,Coracias_caudatus,U89184,NA,NA,NA,AF143737,EU739238,AY600482,AY600497,EU739949,DQ881728
1595,Coracias_garrulus,AF407448,GQ481619,AF407465,NA,NA,NA,NA,NA,NA,NA
1596,Coracias_spatulatus,AF082060,NA,AY274057,AF076340,NA,NA,NA,NA,NA,NA
1597,Coracina_abbotti,NA,NA,HM002952,NA,NA,NA,NA,EU380460,EU380491,EU380415
1598,Coracina_analis,NA,NA,HM002953,NA,NA,NA,NA,HM002899,NA,HM002997
1599,Coracina_atriceps,NA,NA,NA,NA,NA,NA,NA,EU272091,EU272102,EU272118
1600,Coracina_azurea,NA,NA,EF052772,NA,NA,NA,NA,EF052796,EF052824,EU380416
1601,Coracina_bicolor,NA,NA,HM002954,NA,NA,NA,NA,HM002900,HM002926,HM002998
1602,Coracina_boyeri,NA,NA,HM002955,NA,NA,NA,NA,HM002901,HM002927,HM002999
1603,Coracina_caeruleogrisea,NA,NA,HM002956,NA,NA,NA,NA,HM002902,HM002928,HM003000
1604,Coracina_caesia,NA,NA,EF052773,GQ901732,NA,NA,NA,EF052798,EF052825,GQ901708
1605,Coracina_caledonica,NA,NA,EF052774,NA,NA,NA,NA,EF052799,HM002929,EU380433
1606,Coracina_ceramensis,NA,NA,HM002958,NA,NA,NA,NA,NA,NA,NA
1607,Coracina_cinerea,NA,NA,EF052685,NA,NA,NA,NA,EF052800,EF052827,EU380417
1608,Coracina_coerulescens,NA,NA,EF052697,NA,NA,NA,NA,EF052759,EF052770,EU380418
1609,Coracina_dispar,NA,NA,HM002959,NA,NA,NA,NA,NA,NA,NA
1610,Coracina_dohertyi,NA,NA,HM002960,NA,NA,NA,NA,HM002904,HM002930,HM003003
1611,Coracina_fimbriata,AF197839,NA,HM002961,NA,NA,NA,NA,HM002905,HM002931,HM003004
1612,Coracina_graueri,NA,NA,HM002962,NA,NA,NA,NA,HM002906,HM002932,HM003005
1613,Coracina_holopolia,NA,NA,EF052775,NA,NA,NA,NA,EF052801,EF052828,NA
1614,Coracina_incerta,NA,NA,HM002963,NA,NA,NA,NA,HM002907,HM002933,HM003006
1615,Coracina_larvata,NA,NA,NA,NA,NA,NA,NA,EU380461,EU380492,EU380419
1616,Coracina_leucopygia,NA,NA,HM002965,NA,NA,NA,NA,HM002908,HM002934,HM003007
1617,Coracina_lineata,FJ821115,NA,EF052776,NA,AY056988,NA,NA,EF052802,EU273398,EU380420
1618,Coracina_longicauda,NA,NA,HM002967,NA,NA,NA,NA,HM002910,HM002936,HM003009
1619,Coracina_macei,NA,NA,EF052777,NA,NA,NA,NA,EF052804,EU380494,EU380421
1620,Coracina_maxima,NA,NA,HM002968,NA,NA,NA,NA,HM002911,HM002937,HM003010
1621,Coracina_mcgregori,NA,NA,EF052686,NA,NA,NA,NA,EF052805,EF052831,EU380422
1622,Coracina_melanoptera,NA,NA,HM002969,NA,NA,NA,NA,HM002912,HM002938,HM003011
1623,Coracina_melaschistos,AF376894,NA,AY529948,NA,NA,AY529981,NA,EF052807,AY529913,EU380423
1624,Coracina_mindanensis,NA,NA,HM002970,NA,NA,NA,NA,EU380464,EU380495,EU380424
1625,Coracina_montana,NA,NA,HM002971,NA,NA,NA,NA,HM002913,HM002939,HM003012
1626,Coracina_morio,NA,NA,HM002972,NA,NA,NA,NA,HM002914,HM002940,HM003013
1627,Coracina_newtoni,NA,NA,HM002973,NA,NA,NA,NA,HM002915,NA,HM003014
1628,Coracina_novaehollandiae,FJ498992,NA,EF052779,NA,AY443272,NA,NA,EF052808,EF052834,EU380425
1629,Coracina_ostenta,NA,NA,HM002974,NA,NA,NA,NA,HM002916,NA,HM003015
1630,Coracina_papuensis,FJ499024,NA,EF052780,NA,NA,NA,NA,EF052809,EU273399,EU380426
1631,Coracina_pectoralis,NA,NA,EF052781,NA,NA,NA,NA,EF052810,EF052836,NA
1632,Coracina_polioptera,NA,NA,EF052782,NA,NA,NA,NA,EF052811,EF052837,NA
1633,Coracina_schistacea,NA,NA,HM002978,NA,NA,NA,NA,NA,NA,NA
1634,Coracina_striata,NA,NA,EF052696,NA,NA,NA,NA,EF052758,EU380497,EU380427
1635,Coracina_sula,NA,NA,HM002981,NA,NA,NA,NA,NA,NA,NA
1636,Coracina_temminckii,NA,NA,HM002982,NA,NA,NA,NA,EU380468,EU380499,EU380429
1637,Coracina_tenuirostris,NA,NA,EF052783,NA,NA,NA,NA,EF052812,HM002943,EU380430
1638,Coracina_typica,NA,NA,HM002988,NA,NA,NA,NA,HM002921,HM002946,HM003020
1639,Coracopsis_nigra,GQ996506,NA,NA,NA,GQ505224,NA,NA,NA,NA,NA
1640,Coracopsis_vasa,GQ996505,EU621608,EU327612,NA,GQ505223,NA,NA,NA,NA,NA
1641,Coracornis_raveni,NA,NA,GQ494106,GQ494141,NA,NA,NA,EU380472,EU380503,EU380434
1642,Coragyps_atratus,U08946,DQ433546,NA,NA,DQ881804,NA,EF552759 - intron 7,NA,DQ881847,EF552717
1643,Corapipo_altera,NA,EF111038,GU985495,NA,NA,NA,NA,NA,NA,NA
1644,Corapipo_gutturalis,NA,NA,NA,NA,FJ501621,NA,NA,NA,NA,NA
1645,Corapipo_leucorrhoa,NA,NA,NA,NA,NA,NA,EU522595 - intron 7,NA,NA,EU522514
1646,Corcorax_melanorhamphos,AY064274,NA,AY064747,NA,AY443273,NA,NA,EF441214,AY064737,EF441236
1647,Cormobates_leucophaea,NA,NA,NA,NA,AY443274,NA,NA,NA,NA,NA
1648,Cormobates_placens,AY064278,NA,AY064748,NA,AY064260,NA,NA,EF441215,AY064731,EF441237
1649,Corvinella_corvina,NA,NA,AF407061,NA,AY443275,NA,NA,NA,NA,NA
1650,Corvus_albicollis,AY527263,AY527233,NA,NA,NA,NA,AY667439 extraction,NA,NA,NA
1651,Corvus_albus,AY527262,AY527232,NA,NA,NA,NA,AY667438 extraction,NA,NA,NA
1652,Corvus_brachyrhynchos,AY030112,AY666482,AY030138,AF076300,NA,NA,DQ912652 - intron 7,NA,NA,NA
1653,Corvus_caurinus,EF210778,DQ433550,NA,NA,NA,NA,NA,NA,NA,NA
1654,Corvus_corax,AY156263,AY527236,NA,NA,EF568252,NA,AY667446 extraction,NA,NA,NA
1655,Corvus_corone,U86032,GQ481632,AY529949,NA,AY056989,AY529982,EU739355 extraction,FJ357914,AY228327,FJ358080
1656,Corvus_coronoides,AF197837,NA,NA,NA,AY443276,NA,NA,NA,NA,NA
1657,Corvus_cryptoleucus,AY527264,DQ432871,NA,NA,NA,NA,AY667441 extraction,NA,NA,NA
1658,Corvus_dauuricus,NA,GQ481636,NA,NA,NA,NA,NA,NA,NA,NA
1659,Corvus_frugilegus,Y18522,Y18522,Y18522,Y18522,NA,NA,AY667448 extraction,NA,AY395583,NA
1660,Corvus_hawaiiensis,AY005928,NA,NA,NA,NA,NA,NA,NA,NA,NA
1661,Corvus_kubaryi,AY005930,NA,NA,NA,NA,NA,NA,NA,NA,NA
1662,Corvus_macrorhynchos,AB092440,EF515784,NA,NA,NA,NA,NA,NA,NA,NA
1663,Corvus_monedula,U86033,GQ481646,NA,NA,NA,NA,AY395602,NA,AY395584,NA
1664,Corvus_nasicus,NA,NA,NA,NA,FJ378044,NA,NA,NA,NA,NA
1665,Corvus_orru,FJ498999,NA,NA,NA,AY443277,NA,NA,NA,NA,NA
1666,Corvus_ossifragus,NA,DQ432873,NA,NA,NA,NA,NA,NA,NA,NA
1667,Corydon_sumatranus,NA,NA,NA,NA,DQ320623,NA,NA,DQ785897,DQ785973,DQ785931
1668,Coryphistera_alaudina,AY065710,FJ027438,NA,NA,AY065739,EF212047,NA,NA,AY065766,EF212095
1669,Coryphospingus_cucullatus,EF529990,FJ027444,EF529876,NA,NA,NA,NA,NA,NA,NA
1670,Coryphospingus_pileatus,FJ799870,NA,FJ799836,NA,NA,NA,NA,NA,NA,NA
1671,Corythaeola_cristata,AF168117,AF168069,NA,NA,NA,EU739239,EU739398 extraction,NA,NA,NA
1672,Corythaixoides_concolor,AF168118,AF168070,NA,NA,NA,NA,NA,NA,NA,NA
1673,Corythaixoides_leucogaster,AF102099,NA,NA,NA,AF294654,NA,DQ881952,NA,AY233368,DQ881730
1674,Corythaixoides_personatus,AF102089,NA,NA,NA,NA,NA,AY695208,NA,NA,NA
1675,Corythopis_delalandi,AF453805,EU232863,NA,NA,AF453792,NA,NA,DQ435463,AY065788,DQ435479
1676,Corythopis_torquatus,DQ294497,NA,DQ294541,AY489520,FJ501622,DQ294453,AY489422,NA,NA,NA
1677,Coscoroba_coscoroba,EU585639,FJ027451,EU585702,NA,NA,NA,NA,NA,NA,NA
1678,Cosmopsarus_regius,NA,EF484157,EF468127,NA,NA,EF468266,EF471785,NA,NA,NA
1679,Cosmopsarus_unicolor,NA,EF484161,EF468241,NA,NA,NA,NA,NA,NA,NA
1680,Cossypha_albicapilla,HM633280,NA,GU358788,NA,NA,NA,NA,GU358984,GU358720,HM633702
1681,Cossypha_anomala,AY206956,NA,FN546893,NA,NA,NA,NA,NA,NA,NA
1682,Cossypha_archeri,AY206952,NA,FN546894,NA,NA,AY206898,NA,NA,HM633563,HM633703
1683,Cossypha_caffra,AY206954,NA,FN546899,NA,NA,AY206901,NA,NA,NA,NA
1684,Cossypha_cyanocampter,AY206951,NA,NA,NA,NA,AY206899,NA,NA,HM633564,HM633704
1685,Cossypha_dichroa,AY206949,NA,AY329419,NA,NA,AY206909,NA,NA,NA,NA
1686,Cossypha_heuglini,HM633283,NA,NA,NA,NA,NA,NA,NA,HM633565,HM633705
1687,Cossypha_humeralis,HM633284,NA,NA,NA,NA,NA,NA,NA,HM633566,HM633706
1688,Cossypha_isabellae,AY206948,NA,NA,NA,NA,NA,NA,NA,NA,NA
1689,Cossypha_niveicapilla,AY206955,NA,GU358789,NA,NA,AY206900,NA,GU358985,GU358721,HM633707
1690,Cossypha_polioptera,AY206942,NA,FN546900,NA,NA,AY206907,NA,NA,HM633568,HM633708
1691,Cossypha_semirufa,NA,NA,GU358790,NA,NA,NA,NA,GU358986,GU358722,GU358851
1692,Cossyphicula_roberti,AY206944,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,Cotinga_cayana,DQ470496,GU985468,GU985496,NA,FJ501623,NA,NA,DQ470521,DQ470548,NA
1694,Cotinga_maynana,DQ470497,NA,NA,NA,NA,NA,NA,DQ470522,DQ470549,NA
1695,Coturnicops_exquisitus,NC_012143,NC_012143,NC_012143,NC_012143,NA,NA,NA,NA,NA,NA
1696,Coturnicops_noveboracensis,NA,DQ433553,NA,NA,NA,NA,AY695239,NA,NA,NA
1697,Coturnix_chinensis,NC_004575,NC_004575,NC_004575,NC_004575,NA,NA,NA,NA,NA,NA
1698,Coturnix_coturnix,L08377,GQ481648,X57246,NA,NA,NA,EU739399 extraction,NA,NA,NA
1699,Coturnix_japonica,NC_003408,NC_003408,NC_003408,NC_003408,NA,NA,AY952657,NA,NA,NA
1700,Coturnix_pectoralis,GQ150388,GQ150380,NA,NA,NA,NA,NA,NA,NA,NA
1701,Coturnix_ypsilophora,GQ150393,GQ150387,AF222543,NA,NA,NA,NA,NA,NA,NA
1702,Coua_caerulea,AF204985,NA,AF205014,NA,NA,NA,NA,NA,NA,NA
1703,Coua_coquereli,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1704,Coua_cristata,AF204986,NA,AF205015,NA,NA,EU739240,EU739400 extraction,NA,EU739950,NA
1705,Coua_cursor,AF204987,NA,AF205016,NA,NA,NA,NA,NA,NA,NA
1706,Coua_gigas,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1707,Coua_reynaudii,AF204989,NA,AF205018,NA,NA,NA,NA,NA,NA,NA
1708,Coua_ruficeps,AF204990,NA,AF205019,NA,NA,NA,NA,NA,NA,NA
1709,Coua_serriana,AF204988,NA,AF205017,NA,NA,NA,NA,NA,NA,NA
1710,Coua_verreauxi,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1711,Cracticus_nigrogularis,FJ498966,NA,HM448000,NA,NA,NA,NA,NA,NA,NA
1712,Cracticus_quoyi,AY443248,NA,NA,NA,AY443278,NA,NA,NA,NA,NA
1713,Cranioleuca_albicapilla,AY996349,NA,AF053811,NA,NA,GQ140147,NA,AY996355,AY996343,GQ140057
1714,Cranioleuca_albiceps,AF053785,NA,AF053817,NA,NA,NA,NA,NA,NA,NA
1715,Cranioleuca_antisiensis,AF053775,NA,AF053807,NA,NA,NA,NA,NA,NA,NA
1716,Cranioleuca_baroni,EU166991,NA,EU166958,NA,NA,NA,NA,NA,NA,NA
1717,Cranioleuca_curtata,AF053776,NA,AF053808,NA,NA,NA,NA,NA,NA,NA
1718,Cranioleuca_demissa,AF053778,NA,AF053810,HM125667,NA,NA,HM125652,NA,NA,NA
1719,Cranioleuca_erythrops,FJ222630,NA,AF053809,NA,FJ461121,NA,NA,NA,NA,NA
1720,Cranioleuca_henricae,AF053783,NA,AF053815,NA,NA,NA,NA,NA,NA,NA
1721,Cranioleuca_marcapatae,AF053784,NA,AF053816,NA,NA,NA,NA,NA,NA,NA
1722,Cranioleuca_obsoleta,AF053782,NA,AF053814,NA,NA,NA,NA,NA,NA,NA
1723,Cranioleuca_pyrrhophia,AY065708,FJ027453,AF053812,NA,AY065736,EF212048,NA,NA,AY065764,EF212096
1724,Cranioleuca_subcristata,HM125623,NA,HM125611,HM125668,NA,NA,HM125653,NA,NA,NA
1725,Cranioleuca_sulphurifera,AY996350,NA,NA,NA,NA,GQ140148,NA,AY996356,AY996344,GQ140058
1726,Cranioleuca_vulpina,AF053786,NA,AF053818,NA,NA,NA,NA,NA,NA,NA
1727,Crateroscelis_robusta,FJ808762,GU825791,NA,NA,FJ808766,NA,NA,NA,FJ808770,NA
1728,Crax_alberti,AY141920,AY141910,AY141930,NA,NA,NA,NA,NA,NA,NA
1729,Crax_alector,AY141921,NA,AY141931,NA,NA,EU739241,EU739401 extraction,NA,EU739951,NA
1730,Crax_blumenbachii,AF165468,AF165492,AY140747,NA,AY140775,NA,NA,NA,NA,NA
1731,Crax_daubentoni,AY141922,NA,AY141932,NA,NA,NA,NA,NA,NA,NA
1732,Crax_fasciolata,AY141923,NA,AY141933,NA,NA,NA,NA,NA,NA,NA
1733,Crax_globulosa,AY141924,NA,AY141934,NA,NA,NA,NA,NA,NA,NA
1734,Crax_rubra,AY956378,NA,AY952746,NA,NA,NA,AY952650,AY952717,NA,NA
1735,Creagrus_furcatus,EF373127,NA,EF373234,NA,EF373178,NA,NA,FM210009,NA,NA
1736,Creatophora_cinerea,AY329457,EF484202,EF468172,NA,AY307189,EF468308,EF471828,EU551882,DQ466824,EU551913
1737,Creurgops_dentatus,AF006224,NA,FJ799837,NA,NA,NA,NA,NA,NA,NA
1738,Creurgops_verticalis,AY190166,NA,FJ799838,NA,NA,NA,NA,NA,NA,NA
1739,Crex_crex,NA,GQ481654,NA,NA,NA,NA,NA,NA,NA,NA
1740,Crinifer_piscator,AF102100,NA,AY274068,NA,NA,NA,NA,NA,NA,NA
1741,Crinifer_zonurus,AF102076,NA,NA,NA,NA,NA,NA,NA,NA,NA
1742,Criniger_barbatus,NA,NA,DQ402208,DQ402269,NA,EF626740,NA,NA,EF625278,EF625329
1743,Criniger_calurus,NA,NA,DQ402206,DQ402267,NA,NA,DQ402320 (reversed),NA,DQ125947,NA
1744,Criniger_chloronotus,NA,NA,DQ402207,DQ402268,NA,NA,DQ402321 (reversed),NA,NA,NA
1745,Criniger_ndussumensis,NA,NA,DQ402209,DQ402270,NA,EF626741,DQ402324 (reversed),NA,EF625279,EF625330
1746,Crossleyia_xanthophrys,AF199390,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,Crossoptilon_auritum,AF534552,GQ922640,EU845772,NA,NA,NA,NA,NA,NA,NA
1748,Crossoptilon_crossoptilon,AF028794,GQ922614,DQ768256,NA,NA,NA,DQ306965,NA,NA,NA
1749,Crossoptilon_mantchuricum,AF534553,NA,NA,NA,NA,NA,NA,NA,NA,NA
1750,Crotophaga_ani,AF450499,DQ433555,AY274063,NA,NA,NA,NA,NA,NA,NA
1751,Crotophaga_major,AF204997,NA,AF205026,NA,NA,NA,NA,NA,NA,NA
1752,Crotophaga_sulcirostris,U09260,DQ432876,Sorenson,NA,NA,EU739242,EU739402 extraction,NA,EU739952,NA
1753,Crypsirina_temia,AY395618,NA,NA,NA,NA,NA,NA,NA,NA,NA
1754,Cryptospiza_reichenovii,AY228056,NA,EU686332,NA,AY228012,EU680639,NA,NA,AY228293,EU680719
1755,Cryptospiza_shelleyi,NA,NA,AY323583,NA,NA,NA,NA,NA,NA,NA
1756,Cryptosylvicola_randrianasoloi,AF094641,NA,NA,NA,NA,NA,NA,NA,NA,NA
1757,Crypturellus_obsoletus,NA,NA,HM449836,NA,NA,NA,NA,NA,NA,NA
1758,Crypturellus_parvirostris,AY115393,NA,AY115450,NA,NA,NA,NA,NA,NA,NA
1759,Crypturellus_soui,FJ899150,NA,NA,NA,NA,EU739190,EU739345 extraction,NA,EU739899,NA
1760,Crypturellus_strigulosus,U76056,U76063,NA,NA,NA,NA,NA,NA,NA,NA
1761,Crypturellus_tataupa,AY016012,AY016012,AY016012,AY016012,NA,NA,NA,NA,NA,NA
1762,Crypturellus_undulatus,AY139629,NA,NA,NA,NA,NA,NA,NA,NA,NA
1763,Crypturellus_variegatus,NA,NA,HM449837,NA,NA,NA,NA,NA,NA,NA
1764,Cuculus_canorus,AY274034,EF515762,AY274060,NA,AF294655,NA,EU739403 extraction,NA,EU739953,DQ881731
1765,Cuculus_clamosus,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1766,Cuculus_crassirostris,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1767,Cuculus_fugax,U89197,NA,AF205007,NA,NA,NA,NA,NA,NA,NA
1768,Cuculus_gularis,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1769,Cuculus_micropterus,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1770,Cuculus_pallidus,U09262,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1771,Cuculus_poliocephalus,AF072627,NA,AF072596,NA,NA,NA,NA,NA,NA,NA
1772,Cuculus_rochii,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1773,Cuculus_saturatus,D38330,GQ481661,AF205008,NA,NA,NA,NA,NA,NA,NA
1774,Cuculus_solitarius,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1775,Cuculus_sparverioides,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1776,Cuculus_vagans,AF204980,NA,AF205009,NA,NA,NA,NA,NA,NA,NA
1777,Cuculus_varius,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
1778,Culicicapa_ceylonensis,EF081355,EF422247,DQ125979,NA,AY443279,GQ369618,NA,GQ369627,EU680605,GQ369661
1779,Culicicapa_helianthea,AF096454,NA,EU652703,NA,NA,GQ369619,NA,GQ369628,EU669960,GQ369662
1780,Culicivora_caudacuta,NA,EU232858,NA,NA,FJ501624,NA,NA,EU231680,EU231778,EU231881
1781,Curaeus_curaeus,AF089020,FJ027464,AF109943,NA,NA,NA,NA,NA,NA,NA
1782,Cursorius_temminckii,DQ385226,DQ385175,DQ385090,DQ385107,AY228780,NA,NA,NA,AY339081,NA
1783,Cutia_nipalensis,AF484844,NA,DQ861972,NA,FJ358093,NA,NA,NA,FJ357929,FJ358027
1784,Cyanerpes_caeruleus,GU215298,NA,GU215404,NA,NA,NA,NA,NA,NA,NA
1785,Cyanerpes_cyaneus,EF529958,NA,EF529846,NA,NA,NA,NA,NA,NA,NA
1786,Cyanerpes_lucidus,GU215302,NA,NA,NA,NA,NA,NA,NA,NA,NA
1787,Cyanerpes_nitidus,GU215303,NA,NA,NA,NA,NA,NA,NA,NA,NA
1788,Cyanochen_cyanoptera,AF059101,NA,AF059161,NA,NA,NA,NA,NA,NA,NA
1789,Cyanocitta_cristata,X74258,AY666552,DQ912604,NA,AY443280,DQ320585,AY395603,NA,AY395585,NA
1790,Cyanocitta_stelleri,AY030113,DQ432878,AY030139,AY030159,NA,NA,DQ912642 - intron 7,NA,NA,NA
1791,Cyanocompsa_brissonii,AF301461,FJ027468,EF529891,NA,NA,NA,NA,NA,NA,NA
1792,Cyanocompsa_cyanoides,AF301462,NA,EF529889,NA,NA,NA,NA,EU191781,EU191805,EU191813
1793,Cyanocompsa_parellina,AF301460,NA,EF529890,NA,NA,NA,NA,NA,NA,NA
1794,Cyanocorax_affinis,GU144867,NA,GU144824,NA,NA,NA,GU144905,NA,NA,NA
1795,Cyanocorax_beecheii,GU144895,NA,GU144851,NA,NA,NA,NA,NA,NA,NA
1796,Cyanocorax_caeruleus,GU144878,NA,GU144835,NA,NA,NA,NA,NA,NA,NA
1797,Cyanocorax_cayanus,DQ912599,NA,DQ912614,NA,NA,NA,DQ912650 - intron 7,NA,NA,NA
1798,Cyanocorax_chrysops,U77334,FJ027474,DQ912609,NA,NA,NA,AY395604,NA,AY395586,NA
1799,Cyanocorax_cristatellus,GU144883,NA,GU144839,NA,NA,NA,GU144909,NA,NA,NA
1800,Cyanocorax_cyanomelas,GU144862,FJ027480,GU144816,NA,NA,NA,GU144904,NA,NA,NA
1801,Cyanocorax_cyanopogon,GU144876,NA,GU144833,NA,NA,NA,GU144907,NA,NA,NA
1802,Cyanocorax_dickeyi,DQ912596,NA,DQ912611,NA,NA,NA,DQ912647 - intron 7,NA,NA,NA
1803,Cyanocorax_heilprini,GU144875,NA,GU144832,NA,NA,NA,NA,NA,NA,NA
1804,Cyanocorax_melanocyaneus,DQ912597,NA,DQ912612,NA,NA,NA,DQ912648 - intron 7,NA,NA,NA
1805,Cyanocorax_morio,DQ912594,EU442303,DQ912608,NA,NA,NA,DQ912645 - intron 7,NA,NA,NA
1806,Cyanocorax_mystacalis,GU144871,NA,GU144828,NA,NA,NA,GU144906,NA,NA,NA
1807,Cyanocorax_sanblasianus,GU144893,NA,GU144849,NA,NA,NA,NA,NA,NA,NA
1808,Cyanocorax_violaceus,GU144881,NA,GU144837,NA,NA,NA,GU144908,NA,NA,NA
1809,Cyanocorax_yncas,DQ912595,DQ433557,AY389382,NA,NA,NA,GU144910,NA,NA,NA
1810,Cyanocorax_yucatanicus,DQ912598,HM208658,DQ912613,NA,NA,NA,DQ912649 - intron 7,NA,NA,NA
1811,Cyanolanius_madagascarinus,NA,NA,AY529950,NA,NA,AY529983,NA,DQ406649,AY529915,NA
1812,Cyanoliseus_patagonus,DQ143283,FJ027481,DQ143306,NA,DQ143334,NA,NA,NA,NA,NA
1813,Cyanoloxia_glaucocaerulea,EF529996,NA,EF529892,NA,NA,NA,NA,NA,NA,NA
1814,Cyanolyca_argentigula,NA,NA,FJ598179,NA,NA,NA,FJ598271 - BFb intron 7,NA,NA,NA
1815,Cyanolyca_armillata,NA,NA,FJ598159,NA,NA,NA,FJ598257 - BFb intron 7,NA,NA,NA
1816,Cyanolyca_cucullata,NA,NA,AY389384,NA,NA,NA,FJ598264 - BFb intron 7,NA,NA,NA
1817,Cyanolyca_mirabilis,DQ912592,NA,DQ912606,NA,NA,NA,DQ912644 - intron 7,NA,NA,NA
1818,Cyanolyca_nana,NA,NA,FJ598177,NA,NA,NA,NA,NA,NA,NA
1819,Cyanolyca_pulchra,NA,NA,FJ598176,NA,NA,NA,FJ598268 - BFb intron 7,NA,NA,NA
1820,Cyanolyca_pumilo,NA,NA,FJ598178,NA,NA,NA,FJ598269 - BFb intron 7,NA,NA,NA
1821,Cyanolyca_turcosa,NA,NA,FJ598162,NA,NA,NA,FJ598259 - BFb intron 7,NA,NA,NA
1822,Cyanolyca_viridicyanus,U77333,NA,FJ598146,NA,NA,NA,FJ598251 - BFb intron 7,NA,NA,NA
1823,Cyanopica_cyanus,AY701178,EF515781,NA,NA,NA,NA,AY395605,NA,AY395587,NA
1824,Cyanopsitta_spixii,U70764,AF370745,DQ143310,NA,DQ143336,NA,NA,NA,NA,NA
